Date,ActualBooking,state_code,forecast_avg_bqfb,State,Division,Model_creation_date
23-04-2021,91,IN,91,Indiana,Category J,11-10-2023
14-06-2019,97,OR,106,Oregon,Category G,11-10-2023
09-01-2019,97,SC,102,South Carolina,Category A,11-10-2023
07-12-2021,75,SC,75,South Carolina,Category G,11-10-2023
03-12-2020,54,WY,47,Wyoming,Category I,11-10-2023
04-07-2020,5,NJ,1,New Jersey,Category B,11-10-2023
09-10-2020,72,NY,71,New York,Category G,11-10-2023
06-07-2019,57,KY,58,Kentucky,Category C,11-10-2023
08-08-2021,80,KS,72,Kansas,Category F,11-10-2023
12-06-2020,91,NV,101,Nevada,Category D,11-10-2023
09-06-2021,95,KY,95,Kentucky,Category J,11-10-2023
12-04-2020,4,ID,9,Idaho,Category G,11-10-2023
20-11-2019,13,IN,23,Indiana,Category D,11-10-2023
27-06-2020,95,NH,86,New Hampshire,Category G,11-10-2023
28-12-2020,9,IL,9,Illinois,Category G,11-10-2023
21-01-2019,16,MO,13,Missouri,Category C,11-10-2023
08-02-2020,2,VT,0,Vermont,Category G,11-10-2023
13-05-2020,1,RI,6,Rhode Island,Category E,11-10-2023
16-11-2020,11,HI,2,Hawaii,Category E,11-10-2023
07-06-2020,89,WV,80,West Virginia,Category B,11-10-2023
29-04-2020,27,NY,27,New York,Category J,11-10-2023
28-08-2020,60,WI,68,Wisconsin,Category D,11-10-2023
08-12-2020,95,WV,87,West Virginia,Category B,11-10-2023
27-01-2020,72,NE,62,Nebraska,Category D,11-10-2023
13-09-2019,97,IA,88,Iowa,Category J,11-10-2023
28-05-2021,64,ND,63,North Dakota,Category F,11-10-2023
28-12-2021,96,CO,90,Colorado,Category I,11-10-2023
21-01-2020,35,TN,38,Tennessee,Category C,11-10-2023
17-10-2020,78,FL,68,Florida,Category G,11-10-2023
17-05-2021,33,AZ,23,Arizona,Category D,11-10-2023
10-11-2021,95,KY,92,Kentucky,Category C,11-10-2023
01-03-2019,59,NJ,55,New Jersey,Category E,11-10-2023
24-04-2020,53,AZ,51,Arizona,Category I,11-10-2023
14-07-2020,11,ME,1,Maine,Category B,11-10-2023
09-06-2020,78,IN,72,Indiana,Category D,11-10-2023
24-08-2019,34,HI,26,Hawaii,Category I,11-10-2023
18-07-2019,72,SD,75,South Dakota,Category A,11-10-2023
30-05-2020,15,KY,17,Kentucky,Category H,11-10-2023
11-02-2021,66,CA,63,California,Category H,11-10-2023
07-03-2021,79,MD,71,Maryland,Category C,11-10-2023
13-04-2021,45,MI,47,Michigan,Category D,11-10-2023
12-09-2019,13,NM,17,New Mexico,Category J,11-10-2023
07-04-2020,4,AL,9,Alabama,Category D,11-10-2023
01-11-2020,5,NJ,12,New Jersey,Category E,11-10-2023
09-11-2020,52,MS,56,Mississippi,Category C,11-10-2023
04-05-2019,92,IN,82,Indiana,Category B,11-10-2023
17-07-2019,73,OH,80,Ohio,Category I,11-10-2023
23-06-2020,96,WY,99,Wyoming,Category F,11-10-2023
17-12-2019,55,KY,63,Kentucky,Category E,11-10-2023
19-07-2021,18,LA,23,Louisiana,Category D,11-10-2023
17-08-2020,86,FL,96,Florida,Category I,11-10-2023
17-06-2019,33,MS,31,Mississippi,Category D,11-10-2023
31-10-2021,48,AL,44,Alabama,Category I,11-10-2023
24-12-2021,2,ND,6,North Dakota,Category I,11-10-2023
25-08-2021,3,IN,0,Indiana,Category B,11-10-2023
28-01-2019,84,CT,87,Connecticut,Category E,11-10-2023
21-08-2019,35,UT,33,Utah,Category H,11-10-2023
11-08-2021,19,KY,18,Kentucky,Category A,11-10-2023
04-10-2020,81,MI,91,Michigan,Category H,11-10-2023
15-12-2019,68,PA,62,Pennsylvania,Category E,11-10-2023
09-09-2019,10,PA,11,Pennsylvania,Category J,11-10-2023
29-04-2021,14,GA,10,Georgia,Category F,11-10-2023
16-08-2020,54,HI,60,Hawaii,Category F,11-10-2023
30-04-2019,79,AK,86,Alaska,Category B,11-10-2023
03-12-2019,74,KS,72,Kansas,Category J,11-10-2023
10-01-2019,11,NH,21,New Hampshire,Category J,11-10-2023
16-06-2020,76,TX,72,Texas,Category F,11-10-2023
20-12-2021,26,AZ,30,Arizona,Category B,11-10-2023
25-12-2021,2,NC,12,North Carolina,Category F,11-10-2023
04-12-2020,51,MI,60,Michigan,Category I,11-10-2023
28-08-2020,58,NH,54,New Hampshire,Category C,11-10-2023
06-01-2021,16,SC,14,South Carolina,Category I,11-10-2023
15-05-2019,81,PA,71,Pennsylvania,Category E,11-10-2023
27-03-2019,51,IA,51,Iowa,Category C,11-10-2023
09-05-2019,92,NJ,82,New Jersey,Category A,11-10-2023
06-03-2019,19,GA,11,Georgia,Category J,11-10-2023
07-05-2021,26,SD,22,South Dakota,Category D,11-10-2023
27-11-2020,65,ID,64,Idaho,Category F,11-10-2023
31-10-2019,46,VT,48,Vermont,Category J,11-10-2023
11-09-2019,63,NC,71,North Carolina,Category E,11-10-2023
05-10-2021,60,MA,66,Massachusetts,Category J,11-10-2023
15-10-2021,57,CO,51,Colorado,Category J,11-10-2023
07-06-2019,72,IA,82,Iowa,Category B,11-10-2023
07-07-2020,54,KS,49,Kansas,Category G,11-10-2023
29-09-2019,21,LA,28,Louisiana,Category G,11-10-2023
05-09-2020,14,HI,23,Hawaii,Category B,11-10-2023
14-01-2019,72,OH,80,Ohio,Category F,11-10-2023
08-06-2020,67,MT,76,Montana,Category I,11-10-2023
16-05-2021,71,ID,69,Idaho,Category G,11-10-2023
03-10-2019,32,ID,42,Idaho,Category H,11-10-2023
11-08-2019,54,IL,53,Illinois,Category A,11-10-2023
17-11-2019,87,FL,85,Florida,Category D,11-10-2023
06-10-2019,79,IA,85,Iowa,Category F,11-10-2023
09-06-2021,78,WA,88,Washington,Category H,11-10-2023
28-01-2021,66,NY,76,New York,Category G,11-10-2023
24-10-2021,41,AK,41,Alaska,Category D,11-10-2023
04-11-2020,42,VT,43,Vermont,Category D,11-10-2023
05-12-2021,84,AL,90,Alabama,Category H,11-10-2023
11-01-2021,56,NJ,54,New Jersey,Category B,11-10-2023
27-05-2021,50,MA,42,Massachusetts,Category B,11-10-2023
06-12-2019,56,AZ,59,Arizona,Category A,11-10-2023
13-11-2020,3,MT,4,Montana,Category G,11-10-2023
20-01-2021,29,OK,39,Oklahoma,Category H,11-10-2023
02-04-2019,64,SD,54,South Dakota,Category F,11-10-2023
01-01-2019,72,UT,71,Utah,Category E,11-10-2023
20-12-2020,98,HI,100,Hawaii,Category A,11-10-2023
22-09-2021,7,MA,3,Massachusetts,Category A,11-10-2023
06-01-2019,63,MA,65,Massachusetts,Category F,11-10-2023
02-12-2021,3,VA,12,Virginia,Category G,11-10-2023
11-06-2019,56,NJ,48,New Jersey,Category A,11-10-2023
27-02-2021,36,RI,31,Rhode Island,Category I,11-10-2023
12-08-2019,75,MA,77,Massachusetts,Category A,11-10-2023
09-06-2021,71,RI,76,Rhode Island,Category H,11-10-2023
26-02-2019,92,VT,87,Vermont,Category B,11-10-2023
06-10-2019,62,OR,61,Oregon,Category F,11-10-2023
02-01-2019,95,PA,97,Pennsylvania,Category F,11-10-2023
30-08-2021,49,WA,48,Washington,Category I,11-10-2023
21-04-2021,51,KS,50,Kansas,Category E,11-10-2023
09-01-2021,18,KS,10,Kansas,Category B,11-10-2023
20-12-2019,61,VT,51,Vermont,Category E,11-10-2023
27-10-2020,48,SD,41,South Dakota,Category C,11-10-2023
24-12-2020,78,MD,68,Maryland,Category H,11-10-2023
31-01-2020,32,HI,23,Hawaii,Category E,11-10-2023
20-08-2019,94,AK,102,Alaska,Category F,11-10-2023
28-05-2019,65,MN,68,Minnesota,Category D,11-10-2023
23-04-2020,28,NM,22,New Mexico,Category I,11-10-2023
06-07-2021,4,PA,0,Pennsylvania,Category F,11-10-2023
20-10-2021,12,CO,17,Colorado,Category H,11-10-2023
30-03-2021,17,CO,15,Colorado,Category H,11-10-2023
24-05-2021,26,VT,21,Vermont,Category G,11-10-2023
22-07-2021,18,CA,23,California,Category J,11-10-2023
21-05-2021,71,OR,67,Oregon,Category J,11-10-2023
05-01-2019,18,ND,12,North Dakota,Category F,11-10-2023
08-07-2020,65,GA,75,Georgia,Category A,11-10-2023
30-10-2020,11,MA,1,Massachusetts,Category G,11-10-2023
24-03-2019,31,AL,32,Alabama,Category G,11-10-2023
